start
done
         845400 function calls (831173 primitive calls) in 0.725 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      381    0.000    0.000    0.000    0.000 {function _typedict.__getitem__ at 0x7f603f692440}
      381    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
      375    0.000    0.000    0.002    0.000 inspect.py:2843(replace)
      373    0.003    0.000    0.005    0.000 colors.py:184(_to_rgba_no_colorcycle)
      372    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
      372    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
      372    0.001    0.000    0.001    0.000 enum.py:70(__setitem__)
      368    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      366    0.000    0.000    0.000    0.000 lightbartlein.py:40(__init__)
      366    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
      365    0.000    0.000    0.000    0.000 rcsetup.py:118(validate_bool)
      365    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      364    0.000    0.000    0.000    0.000 _distn_infrastructure.py:41(instancemethod)
      364    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      363    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
      356    0.001    0.000    0.001    0.000 {method 'split' of 're.Pattern' objects}
      356    0.000    0.000    0.001    0.000 font_manager.py:850(_json_decode)
      356    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      350    0.008    0.000    0.013    0.000 doccer.py:179(indentcount_lines)
      344    0.000    0.000    0.003    0.000 version.py:74(__init__)
      344    0.001    0.000    0.003    0.000 version.py:131(_legacy_cmpkey)
      343    0.000    0.000    0.000    0.000 <string>:1(__new__)
      343    0.000    0.000    0.001    0.000 _util.py:293(<listcomp>)
      343    0.000    0.000    0.000    0.000 _util.py:297(<listcomp>)
      343    0.000    0.000    0.000    0.000 _util.py:302(<listcomp>)
      343    0.000    0.000    0.000    0.000 _util.py:307(<listcomp>)
      343    0.002    0.000    0.017    0.000 _util.py:270(getargspec_no_self)
      340    0.001    0.000    0.030    0.000 __init__.py:2124(distributions_from_metadata)
      340    0.000    0.000    0.001    0.000 posixpath.py:121(splitext)
      340    0.000    0.000    0.001    0.000 genericpath.py:121(_splitext)
      336    0.001    0.000    0.003    0.000 inspect.py:1799(_signature_bound_method)
      335    0.001    0.000    0.001    0.000 pyparsing.py:1144(__init__)
      331    0.018    0.000    0.049    0.000 doccer.py:12(docformat)
      326    0.001    0.000    0.008    0.000 __init__.py:1325(safe_version)
      321    0.000    0.000    0.000    0.000 rcsetup.py:144(validate_float)
      320    0.001    0.000    0.001    0.000 version.py:236(__str__)
      317    0.000    0.000    0.000    0.000 overrides.py:146(decorator)
      317    0.000    0.000    0.000    0.000 overrides.py:111(array_function_dispatch)
      314    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
      313    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
      313    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
      306    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      305    0.000    0.000    0.002    0.000 re.py:185(sub)
      302    0.000    0.000    0.000    0.000 __init__.py:909(__iter__)
      301    0.000    0.000    0.004    0.000 __init__.py:1486(_fn)
      301    0.000    0.000    0.002    0.000 __init__.py:1492(_validate_resource_path)
      301    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
      301    0.000    0.000    0.001    0.000 ntpath.py:67(isabs)
      301    0.001    0.000    0.001    0.000 ntpath.py:122(splitdrive)
      300    0.000    0.000    0.004    0.000 __init__.py:1406(_get_metadata_path)
      298    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      294    0.000    0.000    0.001    0.000 sre_parse.py:408(_uniq)
      291    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      285    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      285    0.000    0.000    0.002    0.000 function_base.py:431(add_newdoc)
      281    0.000    0.000    0.000    0.000 pyparsing.py:2634(<genexpr>)
      269    0.000    0.000    0.001    0.000 sre_parse.py:84(opengroup)
      269    0.000    0.000    0.002    0.000 sre_parse.py:96(closegroup)
      266    0.000    0.000    0.000    0.000 pyparsing.py:3270(<genexpr>)
      265    0.000    0.000    0.000    0.000 colorbrewer.py:188(<listcomp>)
  265/217    0.000    0.000    0.001    0.000 sre_compile.py:461(_get_literal_prefix)
   264/11    0.001    0.000    0.003    0.000 pyparsing.py:1347(_parseNoCache)
      263    0.000    0.000    0.000    0.000 pyparsing.py:340(__new__)
  263/261    0.000    0.000    0.000    0.000 pyparsing.py:349(__init__)
      262    0.001    0.000    0.001    0.000 functools.py:37(update_wrapper)
      259    0.001    0.000    0.001    0.000 posixpath.py:154(dirname)
      258    0.000    0.000    0.000    0.000 six.py:88(__init__)
      256    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
      255    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      254    0.000    0.000    0.004    0.000 rcsetup.py:342(validate_color_for_prop_cycle)
      252    0.000    0.000    0.000    0.000 {built-in method numpy.can_cast}
      244    0.000    0.000    0.014    0.000 {built-in method builtins.next}
      243    0.000    0.000    0.000    0.000 functools.py:67(wraps)
      234    0.000    0.000    0.000    0.000 pyparsing.py:1121(__init__)
      232    0.000    0.000    0.000    0.000 _distn_infrastructure.py:712(<genexpr>)
